,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0001995086669921875,0.000399017333984375,0.0015957355499267578,0.0004886165972346223,euclidean,1,"{'metric': 'euclidean', 'n_neighbors': 1}",0.7777777777777778,0.7407407407407407,0.8148148148148148,0.8076923076923077,0.8076923076923077,0.7897435897435898,0.027630921609582533,3
1,0.0005982398986816406,0.0004884608318481088,0.000997638702392578,1.9073486328124998e-07,euclidean,2,"{'metric': 'euclidean', 'n_neighbors': 2}",0.6666666666666666,0.7037037037037037,0.8888888888888888,0.7307692307692307,0.6923076923076923,0.7364672364672364,0.07894360184320393,13
2,0.0005983352661132812,0.0004885387300577005,0.0011967182159423827,0.0003989458475937594,euclidean,3,"{'metric': 'euclidean', 'n_neighbors': 3}",0.6296296296296297,0.7037037037037037,0.7407407407407407,0.7692307692307693,0.8076923076923077,0.7301994301994302,0.06075527800252353,14
3,0.0001995086669921875,0.000399017333984375,0.0011980533599853516,0.00039840624894849335,euclidean,4,"{'metric': 'euclidean', 'n_neighbors': 4}",0.6296296296296297,0.6666666666666666,0.7777777777777778,0.7692307692307693,0.6923076923076923,0.707122507122507,0.05781159627720019,19
4,0.000797891616821289,0.00039894584759375934,0.0015957355499267578,0.0004885198198451361,euclidean,5,"{'metric': 'euclidean', 'n_neighbors': 5}",0.7037037037037037,0.6666666666666666,0.8148148148148148,0.8076923076923077,0.7307692307692307,0.7447293447293447,0.058048389352053885,8
5,0.0003989219665527344,0.0004885776558898482,0.0015957355499267578,0.0004887140068087359,euclidean,6,"{'metric': 'euclidean', 'n_neighbors': 6}",0.7037037037037037,0.7407407407407407,0.8518518518518519,0.7307692307692307,0.6923076923076923,0.7438746438746439,0.05676883929092621,11
6,0.00039873123168945315,0.0004883441241955847,0.001795339584350586,0.0003991365824383162,euclidean,7,"{'metric': 'euclidean', 'n_neighbors': 7}",0.7777777777777778,0.7037037037037037,0.7407407407407407,0.7307692307692307,0.6923076923076923,0.7290598290598291,0.030021515378505965,15
7,0.00039882659912109374,0.0004884608318481088,0.001594209671020508,0.0004874868282038956,euclidean,8,"{'metric': 'euclidean', 'n_neighbors': 8}",0.6666666666666666,0.7037037037037037,0.7037037037037037,0.7692307692307693,0.6538461538461539,0.6994301994301994,0.040149718586787064,22
8,0.0005978584289550781,0.00048815032574636404,0.0017955780029296875,0.00039961432992328386,euclidean,9,"{'metric': 'euclidean', 'n_neighbors': 9}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6923076923076923,0.6923076923076923,0.676923076923077,0.012561485860426564,33
9,0.0005981922149658203,0.0004884219060159621,0.0013964653015136718,0.0004888706868424152,euclidean,10,"{'metric': 'euclidean', 'n_neighbors': 10}",0.6666666666666666,0.6666666666666666,0.7037037037037037,0.7307692307692307,0.6538461538461539,0.6843304843304844,0.02858389096566155,29
10,0.0003987789154052734,0.0004884037408073712,0.001402902603149414,0.0004968662499886324,euclidean,11,"{'metric': 'euclidean', 'n_neighbors': 11}",0.6666666666666666,0.6296296296296297,0.7037037037037037,0.6923076923076923,0.7692307692307693,0.6923076923076923,0.04611513976136367,23
11,0.0007984638214111328,0.00039923929670101886,0.001197052001953125,0.00039939136871660784,euclidean,12,"{'metric': 'euclidean', 'n_neighbors': 12}",0.6296296296296297,0.6296296296296297,0.7407407407407407,0.7307692307692307,0.6923076923076923,0.6846153846153846,0.04772058510817115,28
12,0.0,0.0,0.001789093017578125,0.0003969638555138144,euclidean,13,"{'metric': 'euclidean', 'n_neighbors': 13}",0.6296296296296297,0.6296296296296297,0.7037037037037037,0.6923076923076923,0.7307692307692307,0.6772079772079772,0.04080742853514272,32
13,0.0008046150207519532,0.00040256380571527086,0.0011899471282958984,0.0004026879214040821,euclidean,14,"{'metric': 'euclidean', 'n_neighbors': 14}",0.6296296296296297,0.6296296296296297,0.6666666666666666,0.7307692307692307,0.6153846153846154,0.6544159544159545,0.04179012318702881,34
14,0.0003989696502685547,0.0004886360388238481,0.0015955924987792968,0.0004884997964692402,euclidean,15,"{'metric': 'euclidean', 'n_neighbors': 15}",0.5925925925925926,0.6296296296296297,0.7037037037037037,0.6538461538461539,0.6923076923076923,0.6544159544159545,0.04074771322799117,34
15,0.00039887428283691406,0.0004885192845958804,0.0015137672424316406,0.0006034496110961254,euclidean,16,"{'metric': 'euclidean', 'n_neighbors': 16}",0.5555555555555556,0.6296296296296297,0.6666666666666666,0.6538461538461539,0.6923076923076923,0.6396011396011396,0.04664018673431594,37
16,0.00019960403442382814,0.00039920806884765627,0.0017948150634765625,0.00039911272990091057,euclidean,17,"{'metric': 'euclidean', 'n_neighbors': 17}",0.6296296296296297,0.6296296296296297,0.6666666666666666,0.6538461538461539,0.6923076923076923,0.6544159544159545,0.023727251069694585,34
17,0.0005983829498291016,0.0004885777256966609,0.0013960838317871095,0.0004883052449365598,euclidean,18,"{'metric': 'euclidean', 'n_neighbors': 18}",0.5925925925925926,0.6296296296296297,0.6666666666666666,0.6538461538461539,0.6153846153846154,0.6316239316239316,0.026506446380884344,38
18,0.0005989551544189453,0.0004890451146725548,0.0017945289611816407,0.0003978983488308006,euclidean,19,"{'metric': 'euclidean', 'n_neighbors': 19}",0.5555555555555556,0.6296296296296297,0.7037037037037037,0.6538461538461539,0.5769230769230769,0.6239316239316238,0.0532466361351183,39
19,0.0009976863861083985,6.14361702286011e-07,0.001795053482055664,0.00039970944114713677,euclidean,20,"{'metric': 'euclidean', 'n_neighbors': 20}",0.5555555555555556,0.6296296296296297,0.6666666666666666,0.6538461538461539,0.5769230769230769,0.6165242165242164,0.04327671901250075,40
20,0.000399017333984375,0.0004886944566570865,0.001595449447631836,0.0004894404509428332,manhattan,1,"{'metric': 'manhattan', 'n_neighbors': 1}",0.8888888888888888,0.8148148148148148,0.8518518518518519,0.8076923076923077,0.8846153846153846,0.8495726495726494,0.033885173245370645,1
21,0.0007976055145263672,0.00039880402226081233,0.0015960216522216796,0.0004886565544921727,manhattan,2,"{'metric': 'manhattan', 'n_neighbors': 2}",0.6296296296296297,0.8148148148148148,0.8888888888888888,0.7692307692307693,0.6538461538461539,0.7512820512820512,0.0975574457202571,7
22,0.000798797607421875,0.0004000224292792903,0.0009964942932128907,2.204751881239855e-05,manhattan,3,"{'metric': 'manhattan', 'n_neighbors': 3}",0.7037037037037037,0.7777777777777778,0.8518518518518519,0.8076923076923077,0.8461538461538461,0.7974358974358974,0.0540590314082192,2
23,0.00040569305419921873,0.0004969858150973992,0.0012924671173095703,0.00039895429395864787,manhattan,4,"{'metric': 'manhattan', 'n_neighbors': 4}",0.6296296296296297,0.7407407407407407,0.8888888888888888,0.8076923076923077,0.6923076923076923,0.7518518518518519,0.09000504581326782,6
24,0.000989818572998047,1.4734653974007146e-05,0.0009975910186767578,1.784161275279017e-07,manhattan,5,"{'metric': 'manhattan', 'n_neighbors': 5}",0.7407407407407407,0.7407407407407407,0.8148148148148148,0.8076923076923077,0.7307692307692307,0.766951566951567,0.036424922031605834,5
25,8.821487426757812e-05,0.00017642974853515625,0.0017956733703613282,0.0003987094535162892,manhattan,6,"{'metric': 'manhattan', 'n_neighbors': 6}",0.7037037037037037,0.7407407407407407,0.8888888888888888,0.8461538461538461,0.6923076923076923,0.7743589743589743,0.0789004064976985,4
26,0.0,0.0,0.001405191421508789,0.00048239160820099026,manhattan,7,"{'metric': 'manhattan', 'n_neighbors': 7}",0.7037037037037037,0.7037037037037037,0.7777777777777778,0.7692307692307693,0.7692307692307693,0.7447293447293447,0.03364236904643992,8
27,0.00039920806884765627,0.0004889284069753907,0.001988077163696289,1.3333205986635226e-05,manhattan,8,"{'metric': 'manhattan', 'n_neighbors': 8}",0.6666666666666666,0.7407407407407407,0.7777777777777778,0.8846153846153846,0.6538461538461539,0.7447293447293447,0.08370155092369704,8
28,0.00039844512939453126,0.0004879938384279509,0.001994466781616211,8.869683855885637e-07,manhattan,9,"{'metric': 'manhattan', 'n_neighbors': 9}",0.7407407407407407,0.7407407407407407,0.7407407407407407,0.6923076923076923,0.6923076923076923,0.7213675213675215,0.02372725106969459,16
29,0.0005981922149658203,0.0004884220456740979,0.0015961647033691407,0.000489259309328275,manhattan,10,"{'metric': 'manhattan', 'n_neighbors': 10}",0.7037037037037037,0.7777777777777778,0.7407407407407407,0.8076923076923077,0.6538461538461539,0.7367521367521367,0.05421645684647279,12
30,0.0008069515228271484,0.0004039408449262971,0.000994729995727539,4.4639700845598035e-06,manhattan,11,"{'metric': 'manhattan', 'n_neighbors': 11}",0.7037037037037037,0.6296296296296297,0.7407407407407407,0.7692307692307693,0.7307692307692307,0.7148148148148149,0.04747160347770042,18
31,0.0006046295166015625,0.00049426677482068,0.0009912490844726563,2.438013878952865e-05,manhattan,12,"{'metric': 'manhattan', 'n_neighbors': 12}",0.6296296296296297,0.6666666666666666,0.7407407407407407,0.8461538461538461,0.6923076923076923,0.7150997150997151,0.07483718254452248,17
32,0.0001995086669921875,0.000399017333984375,0.0013898372650146484,0.00048095703370831344,manhattan,13,"{'metric': 'manhattan', 'n_neighbors': 13}",0.6666666666666666,0.6666666666666666,0.7037037037037037,0.7307692307692307,0.7307692307692307,0.6997150997150998,0.02873682281236297,21
33,0.0007960796356201172,0.0003980555656918948,0.0011012554168701172,0.00020754344842680432,manhattan,14,"{'metric': 'manhattan', 'n_neighbors': 14}",0.6296296296296297,0.6296296296296297,0.7407407407407407,0.7692307692307693,0.6923076923076923,0.6923076923076923,0.05678027655089737,23
34,0.0,0.0,0.0011967182159423827,0.0003988266846370742,manhattan,15,"{'metric': 'manhattan', 'n_neighbors': 15}",0.7037037037037037,0.6296296296296297,0.7037037037037037,0.6538461538461539,0.7307692307692307,0.6843304843304844,0.036955861074124206,29
35,0.0,0.0,0.0013963699340820313,0.0004886555540883141,manhattan,16,"{'metric': 'manhattan', 'n_neighbors': 16}",0.6666666666666666,0.6296296296296297,0.6666666666666666,0.7307692307692307,0.7307692307692307,0.6849002849002849,0.039818828189897425,27
36,0.0,0.0,0.00139617919921875,0.000488616573967537,manhattan,17,"{'metric': 'manhattan', 'n_neighbors': 17}",0.7777777777777778,0.6296296296296297,0.6666666666666666,0.6923076923076923,0.7692307692307693,0.707122507122507,0.0578115962772002,19
37,0.0,0.0,0.0009974002838134765,2.431401974483864e-07,manhattan,18,"{'metric': 'manhattan', 'n_neighbors': 18}",0.7037037037037037,0.6296296296296297,0.7037037037037037,0.7307692307692307,0.6923076923076923,0.6920227920227922,0.03366648717201696,26
38,0.0,0.0,0.0011967182159423827,0.00039870740052423757,manhattan,19,"{'metric': 'manhattan', 'n_neighbors': 19}",0.7407407407407407,0.6296296296296297,0.6666666666666666,0.6923076923076923,0.6923076923076923,0.6843304843304843,0.03636917013614345,31
39,0.0,0.0,0.0009974002838134765,1.1680077279964343e-07,manhattan,20,"{'metric': 'manhattan', 'n_neighbors': 20}",0.7037037037037037,0.6296296296296297,0.6666666666666666,0.7692307692307693,0.6923076923076923,0.6923076923076923,0.04611513976136367,23
